DOC-001|2024-07-01|08:00|09:00
DOC-001|2024-07-01|15:00|16:00
DOC-001|2024-07-01|10:00|11:00
DOC-001|2024-07-01|11:00|12:00
DOC-001|2024-07-02|08:00|09:00
DOC-001|2024-07-02|09:00|10:00
DOC-001|2024-07-02|10:00|11:00
DOC-001|2024-07-02|11:00|12:00
DOC-002|2024-07-03|08:00|09:00
DOC-002|2024-07-03|09:00|10:00
DOC-002|2024-07-03|10:00|11:00
DOC-002|2024-07-03|11:00|12:00
DOC-002|2024-07-04|08:00|09:00
DOC-002|2024-07-04|09:00|10:00
DOC-002|2024-07-04|10:00|11:00
DOC-002|2024-07-04|11:00|12:00
DOC-003|2024-07-05|08:00|09:00
DOC-003|2024-07-05|09:00|10:00
DOC-003|2024-07-05|10:00|11:00
DOC-003|2024-07-05|11:00|12:00
DOC-003|2024-07-06|08:00|09:00
DOC-003|2024-07-06|09:00|10:00
DOC-003|2024-07-06|10:00|11:00
DOC-003|2024-07-06|11:00|12:00
DOC-004|2024-07-07|08:00|09:00
DOC-004|2024-07-07|09:00|10:00
DOC-004|2024-07-07|10:00|11:00
DOC-004|2024-07-07|11:00|12:00
DOC-004|2024-07-07|08:00|09:00
DOC-004|2024-07-07|09:00|10:00
DOC-004|2024-07-07|10:00|11:00
DOC-004|2024-07-07|11:00|12:00
DOC-001|2024-07-08|08:00|09:00
